id	top	2nd	3rd	スラッグ	種類	親ページ	テンプレートファイル	scssファイル
1	トップ			front	固定ページ		/Pages/page-front.php	/Assets/Scss/_p50-page-front.scss
2		About		about	固定ページ		/Pages/page-about.php	/Assets/Scss/_p50-page-about.scss
3		FAQ		faq	シングルページ		/Pages/page-faq.php	/Assets/Scss/_p50-page-faq.scss
4		ログイン・新規会員登録		login	固定ページ		/Pages/page-login.php	/Assets/Scss/_p50-page-login.scss
5		会員情報入力画面		registration	固定ページ		/Pages/page-registration.php	/Assets/Scss/_p50-page-registration.scss
6		マイページ		mypage	固定ページ		/Pages/page-mypage.php	/Assets/Scss/_p50-page-mypage.scss
7		登録情報確認		information	固定ページ	マイページ	/Pages/page-information.php	/Assets/Scss/_p50-page-information.scss
8		登録情報変更		modify	固定ページ	マイページ	/Pages/page-modify.php	/Assets/Scss/_p50-page-modify.scss
9		ログアウト		logout	固定ページ		/Pages/page-logout.php	/Assets/Scss/_p50-page-logout.scss
10		パスワードを忘れた方		forgot-password	固定ページ		/Pages/page-forgot-password.php	/Assets/Scss/_p50-page-forgot-password.scss
11		ニュース		news	固定ページ		/Pages/page-news.php	/Assets/Scss/_p50-page-news.scss
12		メールマガジン登録		mailmagazine	固定ページ		/Pages/page-mailmagazine.php	/Assets/Scss/_p50-page-mailmagazine.scss
13		会社概要		company	固定ページ		/Pages/page-company.php	/Assets/Scss/_p50-page-company.scss
14		広告掲載をご検討の方へ		ad	固定ページ		/Pages/page-ad.php	/Assets/Scss/_p50-page-ad.scss
15		プライバシーポリシー		privacypolicy	固定ページ		/Pages/page-privacypolicy.php	/Assets/Scss/_p50-page-privacypolicy.scss
16		コンテンツポリシー		contentspolicy	固定ページ		/Pages/page-contentspolicy.php	/Assets/Scss/_p50-page-contentspolicy.scss
17		会員規約		agreement	固定ページ		/Pages/page-agreement.php	/Assets/Scss/_p50-page-agreement.scss
18		サイトマップ		sitemap	固定ページ		/Pages/page-sitemap.php	/Assets/Scss/_p50-page-sitemap.scss
19		記事・コラム		contents	固定ページ		/index.php	/Assets/Scss/_p50-page-index.scss
20		動画		movies	固定ページ		/Pages/page-movies.php	/Assets/Scss/_p50-page-movies.scss
		動画 詳細		movie	シングルページ		/single-movie.php	/Assets/Scss/_p50-single-movie.scss
22		インタビュー		Interviews	固定ページ		/Pages/page-Interviews.php	/Assets/Scss/_p50-page-Interviews.scss
		インタビュー 詳細		interviews	シングルページ		/single-interviews.php	/Assets/Scss/_p50-single-interviews.scss
24		マンガ		comics	固定ページ		/Pages/page-comics.php	/Assets/Scss/_p50-page-comics.scss
		マンガ 詳細		comics	シングルページ		/single-comics.php	/Assets/Scss/_p50-single-comics.scss
26		クイズ		quizes	固定ページ		/Pages/page-quizes.php	/Assets/Scss/_p50-page-quizes.scss
		クイズ 詳細		quiz	シングルページ		/single-quiz.php	/Assets/Scss/_p50-single-quiz.scss
